Title,Authors,Published,Link,Abstract_EN,Abstract_ZH,One_Sentence_Summary,Model_Type,HHH_Focus,Keywords
Conversational User-AI Intervention: A Study on Prompt Rewriting for Improved LLM Response Generation,"Rupak Sarkar, Bahareh Sarrafzadeh, Nirupama Chandrasekaran, Nagu Rangan, Philip Resnik, Longqi Yang, Sujay Kumar Jauhar",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2503.16789.pdf,"Human-LLM conversations are increasingly becoming more pervasive in peoples' professional and personal lives, yet many users still struggle to elicit helpful responses from LLM Chatbots. One of the reasons for this issue is users' lack of understanding in crafting effective prompts that accurately convey their information needs. Meanwhile, the existence of real-world conversational datasets on the one hand, and the text understanding faculties of LLMs on the other, present a unique opportunity to study this problem, and its potential solutions at scale. Thus, in this paper we present the first LLM-centric study of real human-AI chatbot conversations, focused on investigating aspects in which user queries fall short of expressing information needs, and the potential of using LLMs to rewrite suboptimal user prompts. Our findings demonstrate that rephrasing ineffective prompts can elicit better responses from a conversational system, while preserving the user's original intent. Notably, the performance of rewrites improves in longer conversations, where contextual inferences about user needs can be made more accurately. Additionally, we observe that LLMs often need to -- and inherently do -- make \emph{plausible} assumptions about a user's intentions and goals when interpreting prompts. Our findings largely hold true across conversational domains, user intents, and LLMs of varying sizes and families, indicating the promise of using prompt rewriting as a solution for better human-AI interactions.",人类与大型语言模型（LLM）的对话在人们的职业和个人生活中变得越来越普遍，然而许多用户仍然难以从LLM聊天机器人那里获得有用的回应。其中一个原因是用户在撰写有效提示方面的不足，这些提示能够准确传达他们的信息需求。与此同时，现实世界中的对话数据集和LLM的文本理解能力为研究这一问题及其潜在解决方案提供了独特的机会。因此，在本文中，我们提出了第一个以LLM为中心的研究，专注于研究用户查询在表达信息需求方面的不足，以及使用LLM重写次优用户提示的潜力。我们的发现表明，重新表述无效的提示可以从对话系统中获得更好的回应，同时保留用户的原始意图。值得注意的是，重写的性能在较长的对话中有所改善，此时可以更准确地进行关于用户需求的上下文推理。此外，我们观察到，LLM在解释提示时通常需要并天生会做出关于用户意图和目标的合理假设。我们的发现在对话领域、用户意图和不同大小和家族的LLM中大致成立，表明使用提示重写作为改善人机交互的解决方案具有前景。,The paper explores how rewriting user prompts can make LLM responses more helpful by better conveying user intent.,LLM,Helpful,"Prompt rewriting, LLM responses, conversational AI, user intent, helpfulness"
RefPentester: A Knowledge-Informed Self-Reflective Penetration Testing Framework Based on Large Language Models,"Hanzheng Dai, Yuanliang Li, Jun Yan, Zhibo Zhang",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2505.07089.pdf,"Automated penetration testing (AutoPT) powered by large language models (LLMs) has gained attention for its ability to automate ethical hacking processes and identify vulnerabilities in target systems by leveraging the inherent knowledge of LLMs. However, existing LLM-based AutoPT frameworks often underperform compared to human experts in challenging tasks for several reasons: the imbalanced knowledge used in LLM training, short-sightedness in the planning process, and hallucinations during command generation. Moreover, the trial-and-error nature of the PT process is constrained by existing frameworks lacking mechanisms to learn from previous failures, restricting adaptive improvement of PT strategies. To address these limitations, we propose a knowledge-informed, self-reflective PT framework powered by LLMs, called RefPentester. This AutoPT framework is designed to assist human operators in identifying the current stage of the PT process, selecting appropriate tactics and techniques for each stage, choosing suggested actions, providing step-by-step operational guidance, and reflecting on and learning from previous failed operations. We also modeled the PT process as a seven-state Stage Machine to integrate the proposed framework effectively. The evaluation shows that RefPentester can successfully reveal credentials on Hack The Box's Sau machine, outperforming the baseline GPT-4o model by 16.7%. Across PT stages, RefPentester also demonstrates superior success rates on PT stage transitions.",由大型语言模型（LLM）驱动的自动化渗透测试（AutoPT）因其能够通过利用LLM的内在知识自动化道德黑客过程并识别目标系统中的漏洞而受到关注。然而，现有的基于LLM的AutoPT框架在处理复杂任务时通常表现不佳，原因有：LLM训练中使用的知识不平衡、规划过程中的短视以及命令生成中的幻觉。此外，PT过程的试错性质受到现有框架缺乏从以前的失败中学习的机制的限制，从而限制了PT策略的适应性改进。为了解决这些局限性，我们提出了一种由LLM驱动的知识信息、自我反思的PT框架，称为RefPentester。该AutoPT框架旨在帮助人类操作员识别PT过程的当前阶段，为每个阶段选择合适的策略和技术，选择建议的操作，提供逐步的操作指导，并反思和从以前的失败操作中学习。我们还将PT过程建模为一个七状态的阶段机器，以有效地集成所提出的框架。评估表明，RefPentester可以成功揭示Hack The Box的Sau机器上的凭证，比基线GPT-4o模型高出16.7%。在PT阶段，RefPentester在PT阶段转换上也表现出更高的成功率。,"The paper introduces RefPentester, a knowledge-informed, self-reflective penetration testing framework powered by LLMs that outperforms baseline models in identifying vulnerabilities.",LLM,Helpful,"Penetration testing, large language models, self-reflection, knowledge-informed, adaptive improvement"
CogniBench: A Legal-inspired Framework and Dataset for Assessing Cognitive Faithfulness of Large Language Models,"Xiaqiang Tang, Jian Li, Keyu Hu, Du Nan, Xiaolong Li, Xi Zhang, Weigao Sun, Sihong Xie",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2505.20767.pdf,"Faithfulness hallucinations are claims generated by a Large Language Model (LLM) not supported by contexts provided to the LLM. Lacking assessment standards, existing benchmarks focus on ""factual statements"" that rephrase source materials while overlooking ""cognitive statements"" that involve making inferences from the given context. Consequently, evaluating and detecting the hallucination of cognitive statements remains challenging. Inspired by how evidence is assessed in the legal domain, we design a rigorous framework to assess different levels of faithfulness of cognitive statements and introduce the CogniBench dataset where we reveal insightful statistics. To keep pace with rapidly evolving LLMs, we further develop an automatic annotation pipeline that scales easily across different models. This results in a large-scale CogniBench-L dataset, which facilitates training accurate detectors for both factual and cognitive hallucinations. We release our model and datasets at: https://github.com/FUTUREEEEEE/CogniBench",认知忠实幻觉是指大型语言模型（LLM）生成的不受上下文支持的声明。由于缺乏评估标准，现有的基准主要集中在“事实陈述”上，而忽略了涉及从给定上下文中进行推理的“认知陈述”。因此，评估和检测认知陈述的幻觉仍然具有挑战性。受法律领域评估证据的启发，我们设计了一个严格的框架来评估认知陈述的不同忠实度水平，并引入了CogniBench数据集，其中揭示了有见地的统计数据。为了跟上迅速发展的LLM，我们进一步开发了一个自动注释管道，可以轻松扩展到不同的模型。这导致了一个大规模的CogniBench-L数据集，促进了训练准确的检测器，用于检测事实和认知幻觉。我们在以下网址发布了我们的模型和数据集：https://github.com/FUTUREEEEEE/CogniBench,"The paper introduces CogniBench, a legal-inspired framework and dataset for assessing and detecting cognitive faithfulness hallucinations in large language models.",LLM,Honest,"Faithfulness, Hallucinations, Cognitive Statements, Legal-inspired Framework, Dataset"
The Alignment Trap: Complexity Barriers,Jasper Yao,2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.10304.pdf,"This paper argues that AI alignment is not merely difficult, but is founded on a fundamental logical contradiction. We first establish The Enumeration Paradox: we use machine learning precisely because we cannot enumerate all necessary safety rules, yet making ML safe requires examples that can only be generated from the very enumeration we admit is impossible. This paradox is then confirmed by a set of five independent mathematical proofs, or ""pillars of impossibility."" Our main results show that: (1) Geometric Impossibility: The set of safe policies has measure zero, a necessary consequence of projecting infinite-dimensional world-context requirements onto finite-dimensional models. (2) Computational Impossibility: Verifying a policy's safety is coNP-complete, even for non-zero error tolerances. (3) Statistical Impossibility: The training data required for safety (abundant examples of rare disasters) is a logical contradiction and thus unobtainable. (4) Information-Theoretic Impossibility: Safety rules contain more incompressible, arbitrary information than any feasible network can store. (5) Dynamic Impossibility: The optimization process for increasing AI capability is actively hostile to safety, as the gradients for the two objectives are generally anti-aligned. Together, these results demonstrate that the pursuit of safe, highly capable AI is not a matter of overcoming technical hurdles, but of confronting fundamental, interlocking barriers. The paper concludes by presenting a strategic trilemma that these impossibilities force upon the field. A formal verification of the core theorems in Lean4 is currently in progress.",这篇论文论述了人工智能对齐不仅仅是困难，而是基于一个基本的逻辑矛盾。我们首先建立了枚举悖论：我们使用机器学习的原因是我们无法枚举所有必要的安全规则，然而使ML安全需要的示例只能从我们承认是不可能的枚举中生成。这个悖论通过一组五个独立的数学证明或“不可能性支柱”得到了确认。我们的主要结果表明：(1)几何不可能性：安全策略的集合具有零度量，这是将无限维世界上下文要求投影到有限维模型的必要结果。(2)计算不可能性：即使对于非零误差容限，验证策略的安全性也是coNP完全的。(3)统计不可能性：安全所需的训练数据(丰富的稀有灾难示例)是一个逻辑矛盾，因此无法获得。(4)信息论不可能性：安全规则包含的不可压缩、任意信息比任何可行网络都多。(5)动态不可能性：增加AI能力的优化过程对安全性是敌对的，因为两个目标的梯度通常是反对齐的。这些结果共同表明，追求安全、高能力的人工智能不仅仅是克服技术障碍，而是面对基本的、相互交织的障碍。论文最后通过这些不可能性强加给领域的战略三难题。,"The paper presents five fundamental barriers to aligning AI systems, arguing that safe, highly capable AI is confronted with interlocking, insurmountable challenges.",LLM,Harmless,"AI alignment, safety, machine learning, impossibility, barriers"
"Scientists' First Exam: Probing Cognitive Abilities of MLLM via Perception, Understanding, and Reasoning","Yuhao Zhou, Yiheng Wang, Xuming He, Ruoyao Xiao, Zhiwei Li, Qiantai Feng, Zijie Guo, Yuejin Yang, Hao Wu, Wenxuan Huang, Jiaqi Wei, Dan Si, Xiuqi Yao, Jia Bu, Haiwen Huang, Tianfan Fu, Shixiang Tang, Ben Fei, Dongzhan Zhou, Fenghua Ling, Yan Lu, Siqi Sun, Chenhui Li, Guanjie Zheng, Jiancheng Lv, Wenlong Zhang, Lei Bai",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.10521.pdf,"Scientific discoveries increasingly rely on complex multimodal reasoning based on information-intensive scientific data and domain-specific expertise. Empowered by expert-level scientific benchmarks, scientific Multimodal Large Language Models (MLLMs) hold the potential to significantly enhance this discovery process in realistic workflows. However, current scientific benchmarks mostly focus on evaluating the knowledge understanding capabilities of MLLMs, leading to an inadequate assessment of their perception and reasoning abilities. To address this gap, we present the Scientists' First Exam (SFE) benchmark, designed to evaluate the scientific cognitive capacities of MLLMs through three interconnected levels: scientific signal perception, scientific attribute understanding, scientific comparative reasoning. Specifically, SFE comprises 830 expert-verified VQA pairs across three question types, spanning 66 multimodal tasks across five high-value disciplines. Extensive experiments reveal that current state-of-the-art GPT-o3 and InternVL-3 achieve only 34.08% and 26.52% on SFE, highlighting significant room for MLLMs to improve in scientific realms. We hope the insights obtained in SFE will facilitate further developments in AI-enhanced scientific discoveries.",科学发现越来越依赖于基于信息密集型科学数据和特定领域专业知识的复杂多模态推理。凭借专家级科学基准，科学多模态大语言模型（MLLMs）有潜力在现实工作流中显著增强这一发现过程。然而，当前的科学基准主要集中在评估MLLMs的知识理解能力，导致对其感知和推理能力的评估不足。为了弥补这一差距，我们提出了科学家第一次考试（SFE）基准，旨在通过三个相互关联的层次评估MLLMs的科学认知能力：科学信号感知、科学属性理解和科学比较推理。具体来说，SFE包括830个专家验证的VQA对，跨越三种问题类型，涵盖五个高价值学科的66个多模态任务。广泛的实验表明，当前最先进的GPT-o3和InternVL-3在SFE上的表现分别为34.08%和26.52%，突显了MLLMs在科学领域改进的巨大潜力。我们希望在SFE中获得的见解将促进进一步的AI增强科学发现。,"The paper introduces a benchmark to evaluate the scientific cognitive abilities of Multimodal Large Language Models, highlighting areas for improvement in perception, understanding, and reasoning.",MLLM,"Helpful, Honest","Multimodal Large Language Models, scientific benchmarks, perception, understanding, reasoning"
FORTRESS: Frontier Risk Evaluation for National Security and Public Safety,"Christina Q. Knight, Kaustubh Deshpande, Ved Sirdeshmukh, Meher Mankikar, Scale Red Team, SEAL Research Team, Julian Michael",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.14922.pdf,"The rapid advancement of large language models (LLMs) introduces dual-use capabilities that could both threaten and bolster national security and public safety (NSPS). Models implement safeguards to protect against potential misuse relevant to NSPS and allow for benign users to receive helpful information. However, current benchmarks often fail to test safeguard robustness to potential NSPS risks in an objective, robust way. We introduce FORTRESS: 500 expert-crafted adversarial prompts with instance-based rubrics of 4-7 binary questions for automated evaluation across 3 domains (unclassified information only): Chemical, Biological, Radiological, Nuclear and Explosive (CBRNE), Political Violence & Terrorism, and Criminal & Financial Illicit Activities, with 10 total subcategories across these domains. Each prompt-rubric pair has a corresponding benign version to test for model over-refusals. This evaluation of frontier LLMs' safeguard robustness reveals varying trade-offs between potential risks and model usefulness: Claude-3.5-Sonnet demonstrates a low average risk score (ARS) (14.09 out of 100) but the highest over-refusal score (ORS) (21.8 out of 100), while Gemini 2.5 Pro shows low over-refusal (1.4) but a high average potential risk (66.29). Deepseek-R1 has the highest ARS at 78.05, but the lowest ORS at only 0.06. Models such as o1 display a more even trade-off between potential risks and over-refusals (with an ARS of 21.69 and ORS of 5.2). To provide policymakers and researchers with a clear understanding of models' potential risks, we publicly release FORTRESS at https://huggingface.co/datasets/ScaleAI/fortress_public. We also maintain a private set for evaluation.",大型语言模型（LLM）的快速发展引入了可能既威胁又增强国家安全和公共安全（NSPS）的双重用途能力。模型实施保障措施以防止潜在的滥用相关的NSPS，并允许善意用户获得有用的信息。然而，当前的基准测试往往无法以客观、健壮的方式测试保障措施的健壮性，以应对潜在的NSPS风险。我们引入了FORTRESS：500个专家精心设计的对抗性提示，带有基于实例的4-7个二元问题的评分标准，用于跨3个领域（仅限未分类信息）的自动评估：化学、生物、放射性、核和爆炸物（CBRNE）、政治暴力和恐怖主义以及刑事和金融非法活动，总共10个子类别。每个提示-评分标准对都有一个相应的良性版本，用于测试模型的过度拒绝。对前沿LLM的保障健壮性的评估揭示了潜在风险与模型有用性之间的不同权衡：Claude-3.5-Sonnet显示出较低的平均风险分数（ARS）（100分中的14.09），但最高的过度拒绝分数（ORS）（100分中的21.8），而Gemini 2.5 Pro则显示出低过度拒绝（1.4），但高潜在风险（66.29）。Deepseek-R1在ARS中最高，为78.05，但在ORS中最低，仅为0.06。模型如o1显示出潜在风险和过度拒绝之间更均衡的权衡（ARS为21.69，ORS为5.2）。为了让政策制定者和研究人员清楚了解模型的潜在风险，我们在https://huggingface.co/datasets/ScaleAI/fortress_public上公开发布FORTRESS。我们还维护一个私人集合用于评估。,"The paper introduces FORTRESS, a benchmark for evaluating the robustness of safeguards in large language models against national security and public safety risks.",LLM,"Helpful, Harmless","LLM, safety, evaluation, national security, public safety"
No Free Lunch: Rethinking Internal Feedback for LLM Reasoning,"Yanzhi Zhang, Zhaoxi Zhang, Haoxiang Guan, Yilin Cheng, Yitong Duan, Chen Wang, Yue Wang, Shuxin Zheng, Jiyan He",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.17219.pdf,"Reinforcement learning has emerged as a powerful paradigm for post-training large language models (LLMs) to improve reasoning. Approaches like Reinforcement Learning from Human Feedback (RLHF) and Reinforcement Learning with Verifiable Rewards (RLVR) have shown strong results, but they require extensive external supervision. We investigate an alternative class of methods, Reinforcement Learning from Internal Feedback (RLIF), which relies solely on intrinsic model-derived signals instead of external rewards. In particular, we leverage unsupervised reward proxies such as token-level entropy, trajectory-level entropy, and self-certainty. Our theoretical analysis shows these internal objectives are partially equivalent, and we empirically evaluate various RLIF strategies on challenging math reasoning benchmarks. Experimental results demonstrate that RLIF can boost the reasoning performance of base LLMs at the beginning phase of the training, matching or surpassing RLVR techniques on these tasks. However, when training progresses, performance degrades even below the model before training. Moreover, we find that RLIF yields little improvement for instruction-tuned models, indicating diminishing returns of intrinsic feedback once an LLM is already instruction-tuned. We further analyze this limitation by mixing model weights and explain the reason of RLIF's training behaviors, providing practical guidelines for integrating internal feedback signals into LLM training. We hope our analysis of internal feedback will inform more principled and effective strategies for LLM post-training.",强化学习作为一种强大的范式，用于在训练后改进大型语言模型（LLM）的推理能力。像人类反馈的强化学习（RLHF）和可验证奖励的强化学习（RLVR）等方法已经显示出强大的结果，但它们需要大量的外部监督。我们研究了一种替代方法，即基于内部反馈的强化学习（RLIF），它依赖于内在的模型派生信号，而不是外部奖励。特别是，我们利用了无监督奖励代理，如标记级熵、轨迹级熵和自信度。我们的理论分析表明这些内部目标是部分等价的，并且我们在具有挑战性的数学推理基准测试中评估了各种RLIF策略。实验结果表明，RLIF可以在训练的初始阶段提高基础LLM的推理性能，在这些任务上与RLVR技术匹配或超越。然而，随着训练的进展，性能会下降，甚至低于训练前的模型。此外，我们发现RLIF对指令调整模型的改进很小，表明一旦LLM已经指令调整，内在反馈的回报就会减少。我们通过混合模型权重进一步分析了这一局限性，并解释了RLIF的训练行为，提供了将内部反馈信号集成到LLM训练中的实用指南。我们希望我们对内部反馈的分析将为LLM后训练的更加原则和有效的策略提供信息。,"The paper explores the use of reinforcement learning from internal feedback to improve the reasoning capabilities of large language models, finding both initial benefits and eventual limitations.",LLM,Helpful,"Reinforcement Learning, Internal Feedback, LLM Reasoning, RLIF, Post-training"
Confucius3-Math: A Lightweight High-Performance Reasoning LLM for Chinese K-12 Mathematics Learning,"Lixin Wu, Na Cai, Qiao Cheng, Jiachen Wang, Yitao Duan",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.18330.pdf,"We introduce Confucius3-Math, an open-source large language model with 14B parameters that (1) runs efficiently on a single consumer-grade GPU; (2) achieves SOTA performances on a range of mathematical reasoning tasks, outperforming many models with significantly larger sizes. In particular, as part of our mission to enhancing education and knowledge dissemination with AI, Confucius3-Math is specifically committed to mathematics learning for Chinese K-12 students and educators. Built via post-training with large-scale reinforcement learning (RL), Confucius3-Math aligns with national curriculum and excels at solving main-stream Chinese K-12 mathematical problems with low cost. In this report we share our development recipe, the challenges we encounter and the techniques we develop to overcome them. In particular, we introduce three technical innovations: Targeted Entropy Regularization, Recent Sample Recovery and Policy-Specific Hardness Weighting. These innovations encompass a new entropy regularization, a novel data scheduling policy, and an improved group-relative advantage estimator. Collectively, they significantly stabilize the RL training, improve data efficiency, and boost performance. Our work demonstrates the feasibility of building strong reasoning models in a particular domain at low cost. We open-source our model and code at https://github.com/netease-youdao/Confucius3-Math.",我们介绍了Confucius3-Math，一个具有140亿参数的开源大型语言模型，它（1）在单个消费级GPU上高效运行；（2）在一系列数学推理任务上实现了最先进的性能，超过了许多规模显著更大的模型。特别是，作为我们利用人工智能增强教育和知识传播的使命的一部分，Confucius3-Math专门致力于中国K-12学生和教育工作者的数学学习。通过大规模强化学习（RL）后训练构建，Confucius3-Math与国家课程对齐，并在低成本下出色地解决了主流中国K-12数学问题。在本报告中，我们分享了我们的开发配方、我们遇到的挑战以及我们开发的技术来克服它们。特别是，我们引入了三项技术创新：目标熵正则化、最近样本恢复和策略特定的困难加权。这些创新包括一种新的熵正则化、一种新颖的数据调度策略和一个改进的组相对优势估计器。综合起来，它们显著稳定了RL训练，提高了数据效率，并提高了性能。我们的工作展示了在特定领域以低成本构建强大推理模型的可行性。我们在https://github.com/netease-youdao/Confucius3-Math上开源我们的模型和代码。,"The paper presents Confucius3-Math, a lightweight LLM aligned with the national curriculum for Chinese K-12 mathematics learning, achieving state-of-the-art performance in mathematical reasoning tasks.",LLM,Helpful,"LLM, Alignment, Mathematics, Education, Reinforcement Learning"
Quantifying Fairness in LLMs Beyond Tokens: A Semantic and Statistical Perspective,"Weijie Xu, Yiwen Wang, Chi Xue, Xiangkun Hu, Xi Fang, Guimin Dong, Chandan K. Reddy",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.19028.pdf,"Large Language Models (LLMs) often generate responses with inherent biases, undermining their reliability in real-world applications. Existing evaluation methods often overlook biases in long-form responses and the intrinsic variability of LLM outputs. To address these challenges, we propose FiSCo(Fine-grained Semantic Computation), a novel statistical framework to evaluate group-level fairness in LLMs by detecting subtle semantic differences in long-form responses across demographic groups. Unlike prior work focusing on sentiment or token-level comparisons, FiSCo goes beyond surface-level analysis by operating at the claim level, leveraging entailment checks to assess the consistency of meaning across responses. We decompose model outputs into semantically distinct claims and apply statistical hypothesis testing to compare inter- and intra-group similarities, enabling robust detection of subtle biases. We formalize a new group counterfactual fairness definition and validate FiSCo on both synthetic and human-annotated datasets spanning gender, race, and age. Experiments show that FiSco more reliably identifies nuanced biases while reducing the impact of stochastic LLM variability, outperforming various evaluation metrics.",大语言模型（LLMs）通常生成带有内在偏见的响应，削弱了它们在现实世界应用中的可靠性。现有的评估方法往往忽略了长文本响应中的偏见以及LLM输出的内在变异性。为了应对这些挑战，我们提出了FiSCo（细粒度语义计算），一种新的统计框架，通过检测长文本响应在不同人群之间的微妙语义差异，来评估LLM的群体级公平性。与之前的工作不同，FiSCo不仅仅关注情感或标记级别的比较，而是通过在声明级别进行操作，利用推理检查来评估响应中的意义一致性。我们将模型输出分解为语义上不同的声明，并应用统计假设检验来比较群体内和群体间的相似性，从而实现对微妙偏见的可靠检测。我们正式化了一个新的群体对抗性公平定义，并在涵盖性别、种族和年龄的合成和人工标注数据集上验证了FiSCo。实验表明，FiSco更可靠地识别出细微的偏见，同时减少了随机LLM变异的影响，优于各种评估指标。,"The paper introduces FiSCo, a statistical framework for evaluating group-level fairness in LLMs by detecting subtle semantic biases in long-form responses.",LLM,Harmless,"Fairness, Bias, Evaluation, Semantic Analysis, LLMs"
Therapy as an NLP Task: Psychologists' Comparison of LLMs and Human Peers in CBT,"Zainab Iftikhar, Sean Ransom, Amy Xiao, Nicole Nugent, Jeff Huang",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2409.02244.pdf,"Large language models (LLMs) are being used as ad-hoc therapists. Research suggests that LLMs outperform human counselors when generating a single, isolated empathetic response; however, their session-level behavior remains understudied. In this study, we compare the session-level behaviors of human counselors with those of an LLM prompted by a team of peer counselors to deliver single-session Cognitive Behavioral Therapy (CBT). Our three-stage, mixed-methods study involved: a) a year-long ethnography of a text-based support platform where seven counselors iteratively refined CBT prompts through self-counseling and weekly focus groups; b) the manual simulation of human counselor sessions with a CBT-prompted LLM, given the full patient dialogue and contextual notes; and c) session evaluations of both human and LLM sessions by three licensed clinical psychologists using CBT competence measures. Our results show a clear trade-off. Human counselors excel at relational strategies -- small talk, self-disclosure, and culturally situated language -- that lead to higher empathy, collaboration, and deeper user reflection. LLM counselors demonstrate higher procedural adherence to CBT techniques but struggle to sustain collaboration, misread cultural cues, and sometimes produce ""deceptive empathy,"" i.e., formulaic warmth that can inflate users' expectations of genuine human care. Taken together, our findings imply that while LLMs might outperform counselors in generating single empathetic responses, their ability to lead sessions is more limited, highlighting that therapy cannot be reduced to a standalone natural language processing (NLP) task. We call for carefully designed human-AI workflows in scalable support: LLMs can scaffold evidence-based techniques, while peers provide relational support. We conclude by mapping concrete design opportunities and ethical guardrails for such hybrid systems.",大语言模型（LLM）被用作临时治疗师。研究表明，LLM在生成单个、孤立的共情响应时表现优于人类顾问；然而，它们的会话级行为仍然研究不足。在本研究中，我们比较了人类顾问与由一组同伴顾问提示的LLM在单次认知行为疗法（CBT）中的会话级行为。我们的三阶段混合方法研究包括：a）对一个文本支持平台的为期一年的民族志研究，七名顾问通过自我治疗和每周的小组讨论逐步完善CBT提示；b）使用CBT提示的LLM手动模拟人类顾问会话，给出完整的患者对话和上下文笔记；c）由三名持证临床心理学家使用CBT胜任度衡量标准对人类和LLM会话进行评估。我们的结果显示出明显的权衡。人类顾问在关系策略方面表现出色——闲聊、自我披露和文化定位的语言——这导致了更高的共情、合作和更深的用户反思。LLM顾问在CBT技术的程序遵从性方面表现更好，但难以维持合作，误读文化线索，有时会产生“欺骗性共情”，即公式化的温暖，可能会使用户对真正的人类关怀产生不切实际的期望。综上所述，我们的发现表明，尽管LLM在生成单个共情响应方面可能优于顾问，但它们领导会话的能力更有限，突显了治疗不能被简化为一个独立的自然语言处理（NLP）任务。我们呼吁在可扩展支持中设计精心设计的人机工作流程：LLM可以为基于证据的技术提供框架，而同伴提供关系支持。我们通过映射具体的设计机会和伦理守则来总结这种混合系统。,"The study compares human counselors and LLMs in delivering CBT, finding that while LLMs excel in procedural adherence, they lack relational strategies crucial for effective therapy.",LLM,"Helpful, Harmless","LLM, Therapy, Empathy, CBT, Human-AI Collaboration"
